Paper Number,Paper Venue,Keywords,Paper Link,Authors,Citation (BibTeX),Paper Name,Figure of Widget(s),Size,Quantity,Physicalization,Tangible-Virtual Mapping,Inherent Material Properties,Material Properties,Physical Form,Description of the Physical Form,Functional Shape,Description of the Functional Shape,Manipulation Method,Interaction Type,Interaction Description,Where the Interaction Happens,Input Type of Interaction,Input Description,Task Content,Task Entity's Representation,Description of the Task Entity's Representation,Description of the Output on Task Entity,Task Environment,Task-Interaction-Widget Mapping,Accessible Distance between User and Visualization Widget(s),Impact of Distance Change between User and Visualization Widget(s),Accessible Distance between User and Task Entity,Impact of Distance Change between User and Task Entity,Spatial Integration between Task Entity and Visualization Widget(s),Description of Spatial Integration between Task Entity and Visualization Widget(s)
37,TEI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/2460625.2460661,"Kasahara, Shunichi and Niiyama, Ryuma and Heun, Valentin and Ishii, Hiroshi","@inproceedings{10.1145/2460625.2460661,
author = {Kasahara, Shunichi and Niiyama, Ryuma and Heun, Valentin and Ishii, Hiroshi},
title = {exTouch: spatially-aware embodied manipulation of actuated objects mediated by augmented reality},
year = {2013},
isbn = {9781450318983},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/2460625.2460661},
doi = {10.1145/2460625.2460661},
abstract = {As domestic robots and smart appliances become increasingly common, they require a simple, universal interface to control their motion. Such an interface must support a simple selection of a connected device, highlight its capabilities and allow for an intuitive manipulation. We propose ""exTouch"", an embodied spatially-aware approach to touch and control devices through an augmented reality mediated mobile interface. The ""exTouch"" system extends the users touchscreen interactions into the real world by enabling spatial control over the actuated object. When users touch a device shown in live video on the screen, they can change its position and orientation through multi-touch gestures or by physically moving the screen in relation to the controlled object. We demonstrate that the system can be used for applications such as an omnidirectional vehicle, a drone, and moving furniture for reconfigurable room.},
booktitle = {Proceedings of the 7th International Conference on Tangible, Embedded and Embodied Interaction},
pages = {223每228},
numpages = {6},
keywords = {augmented reality, direct manipulation, embodied interactions, spatially aware interface, tangible interfaces},
location = {Barcelona, Spain},
series = {TEI '13}
}",exTouch: spatially-aware embodied manipulation of actuated objects mediated by augmented reality,,Medium,Single,A tangible widget,N/A,Rigid,No use,Plate,A handheld tablet,Body,A handheld tablet,Symmetric,Positioning+Rotating,Moving the handheld tablet in space to translate and rotate the 3D graphic for manipulating.,above the horizontal surface,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Translating/Rotating/Scaling,3D,3D graphic,The position and rotation of the 3D graphic displayed in the augmented reality (screen).,Augmented reality,Use a plate to translate/rotate/scale a 3D graphic by two-handed positioning+rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The handheld tablet is in user's hand.
2. The handheld tablet is discrete from the 3D graphic.
3. The 3D graphic is on the desktop or in the room."
38,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1753903,"Jord\`{a}, Sergi","@inproceedings{10.1145/1753846.1753903,
author = {Jord\`{a}, Sergi},
title = {The reactable: tangible and tabletop music performance},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1753903},
doi = {10.1145/1753846.1753903},
abstract = {In this paper we present the Reactable, a new electronic musical instrument with a simple and intuitive tabletop interface that turns music into a tangible and visual experience, enabling musicians to experiment with sound, change its structure, control its parameters and be creative in a direct, refreshing and unseen way.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {2989每2994},
numpages = {6},
keywords = {music performance, musical instruments, reactable, reactivision, tabletop interfaces, tangible interaction},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",The reactable: tangible and tabletop music performance,,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,An acrylic puck,Planar surface,The bottom surface of acrylic puck,One-handed,Rotating,Rotating the acrylic puck orientation on desktop for adjusting a music parameter.,on the horizontal surface,Rotation,Physical widget: 1DOF rotation in the plane.,Adjusting,Other,Audio,The music played by the musician.,2D display,Use a plate to adjust an audio by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The puck is on the desktop.
2. The puck is discrete from the audio player.
3. The audio player is in the room."
39,CHI EA,Tangible & Interaction,https://dl.acm.org/doi/10.1145/1753846.1754081,"Lee, Jinha and Ishii, Hiroshi","@inproceedings{10.1145/1753846.1754081,
author = {Lee, Jinha and Ishii, Hiroshi},
title = {Beyond: collapsible tools and gestures for computational design},
year = {2010},
isbn = {9781605589305},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/1753846.1754081},
doi = {10.1145/1753846.1754081},
abstract = {Since the invention of the personal computer, digital media has remained separate from the physical world, blocked by a rigid screen. In this paper, we present Beyond, an interface for 3-D design where users can directly manipulate digital media with physically retractable tools and hand gestures. When pushed onto the screen, these tools physically collapse and project themselves onto the screen, letting users perceive as if they were inserting the tools into the digital space beyond the screen. The aim of Beyond is to make the digital 3-D design process straightforward, and more accessible to general users by extending physical affordances to the digital space beyond the computer screen.},
booktitle = {CHI '10 Extended Abstracts on Human Factors in Computing Systems},
pages = {3931每3936},
numpages = {6},
keywords = {3D interaction, augmented reality, haptic UI, pen input, tactile UI, tangible UI},
location = {Atlanta, Georgia, USA},
series = {CHI EA '10}
}",Beyond: collapsible tools and gestures for computational design,,Small,Single,A tangible widget,N/A,Stretchable,Stretchable,Slender body,A collapsible pen or saw,Straight edge,The tip's motion path,One-handed,Shaping,Strecthing the pen or saw on desktop for adjusting the input depth.,on the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Adjusting,3D,3D graphic,The position of the 3D graphic displayed on the desktop screen.,2D display,Use a slender body to adjust a 3D graphic by shaping.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Crossed,"1. The pen is in user's hand.
2. The tip's motion path is crossed over the 3D graphic.
3. The 3D graphic is away from the user."
40,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642740,"He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun","@inproceedings{10.1145/3613904.3642740,
author = {He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun},
title = {Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642740},
doi = {10.1145/3613904.3642740},
abstract = {Tangible interfaces in mixed reality (MR) environments allow for intuitive data interactions. Tangible cubes, with their rich interaction affordances, high maneuverability, and stable structure, are particularly well-suited for exploring multi-dimensional data types. However, the design potential of these cubes is underexplored. This study introduces a design space for tangible cubes in MR, focusing on interaction space, visualization space, sizes, and multiplicity. Using spatio-temporal data, we explored the interaction affordances of these cubes in a workshop (N=24). We identified unique interactions like rotating, tapping, and stacking, which are linked to augmented reality (AR) visualization commands. Integrating user-identified interactions, we created a design space for tangible-cube interactions and visualization. A prototype visualizing global health spending with small cubes was developed and evaluated, supporting both individual and combined cube manipulation. This research enhances our grasp of tangible interaction in MR, offering insights for future design and application in diverse data contexts.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {209},
numpages = {21},
keywords = {mixed reality, spatio-temporal data, tangible interaction},
location = {Honolulu, HI, USA},
series = {CHI '24}
}",Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality,,Small,Single,A tangible widget,N/A,"Rigid, Reconfigurable",No use,Polyhedron,A cube (edge lengths around 10 cm),Body,A cube (edge lengths around 10 cm),One-handed,Rotating,Rotating/flipping the cube orientation on desktop for switching visualization types.,on the horizontal surface,Rotation,Physical widget: 1DOF rotation in the plane.,Replacing,3D,3D bar chart+3D heatmap,The representation type of the 3D visualization displayed in the augmented reality (HMD).,Augmented reality,Use a polyhedron to replace a 3D bar chart+3D heatmap by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,"Aligned,Discrete","1. The cube is on the desktop.
2. The 3D visualization is aligned with (dynamic)/discrete from (anchored) the cube.
3. The 3D visualizations are above the cube (dynamic) or on the desktop (anchored)."
40,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642740,"He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun","@inproceedings{10.1145/3613904.3642740,
author = {He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun},
title = {Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642740},
doi = {10.1145/3613904.3642740},
abstract = {Tangible interfaces in mixed reality (MR) environments allow for intuitive data interactions. Tangible cubes, with their rich interaction affordances, high maneuverability, and stable structure, are particularly well-suited for exploring multi-dimensional data types. However, the design potential of these cubes is underexplored. This study introduces a design space for tangible cubes in MR, focusing on interaction space, visualization space, sizes, and multiplicity. Using spatio-temporal data, we explored the interaction affordances of these cubes in a workshop (N=24). We identified unique interactions like rotating, tapping, and stacking, which are linked to augmented reality (AR) visualization commands. Integrating user-identified interactions, we created a design space for tangible-cube interactions and visualization. A prototype visualizing global health spending with small cubes was developed and evaluated, supporting both individual and combined cube manipulation. This research enhances our grasp of tangible interaction in MR, offering insights for future design and application in diverse data contexts.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {209},
numpages = {21},
keywords = {mixed reality, spatio-temporal data, tangible interaction},
location = {Honolulu, HI, USA},
series = {CHI '24}
}",Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality,,Small,Double,Two tangible widgets,N/A,"Rigid, Reconfigurable",No use,Polyhedron,Two cubes (edge lengths around 10 cm),Body,Two cubes (edge lengths around 10 cm),Asymmetric,Positioning,Neighboring or stacking the cubes on desktop/in space for combining the visualizations.,"on the horizontal surface,above the horizontal surface","Position,Rotation",Physical widget: 2DOF translation and 1DOF rotation in the plane./Physical widget: 3DOF translation and 3DOF rotation in the space.,Replacing,3D,3D bar chart+3D heatmap,The representation of combining data of the 3D visualization displayed in the augmented reality (HMD).,Augmented reality,Use two polyhedrons to replace a 3D bar chart+3D heatmap by coordinated positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,"Aligned,Discrete","1. The cube is on the desktop/in user's hand.
2. The 3D visualization is aligned with (dynamic)/discrete from (anchored) the cube.
3. The 3D visualizations are above the cube (dynamic) or on the desktop (anchored)."
40,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642740,"He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun","@inproceedings{10.1145/3613904.3642740,
author = {He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun},
title = {Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642740},
doi = {10.1145/3613904.3642740},
abstract = {Tangible interfaces in mixed reality (MR) environments allow for intuitive data interactions. Tangible cubes, with their rich interaction affordances, high maneuverability, and stable structure, are particularly well-suited for exploring multi-dimensional data types. However, the design potential of these cubes is underexplored. This study introduces a design space for tangible cubes in MR, focusing on interaction space, visualization space, sizes, and multiplicity. Using spatio-temporal data, we explored the interaction affordances of these cubes in a workshop (N=24). We identified unique interactions like rotating, tapping, and stacking, which are linked to augmented reality (AR) visualization commands. Integrating user-identified interactions, we created a design space for tangible-cube interactions and visualization. A prototype visualizing global health spending with small cubes was developed and evaluated, supporting both individual and combined cube manipulation. This research enhances our grasp of tangible interaction in MR, offering insights for future design and application in diverse data contexts.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {209},
numpages = {21},
keywords = {mixed reality, spatio-temporal data, tangible interaction},
location = {Honolulu, HI, USA},
series = {CHI '24}
}",Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality,,Small,Single,A tangible widget,N/A,"Rigid, Reconfigurable",No use,Polyhedron,A cube (edge lengths around 10 cm),Body,A cube (edge lengths around 10 cm),One-handed,Shaking,Shaking the cube in space for reseting the selected data.,above the horizontal surface,"Position,Rotation",Physical widget: 3DOF translation and 3DOF rotation in the space.,Modulating,3D,3D bar chart+3D heatmap,The selected data of the 3D visualization displayed in the augmented reality (HMD).,Augmented reality,Use a polyhedron to modulate a 3D bar chart+3D heatmap by shaking.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,"Aligned,Discrete","1. The cube is in user's hand.
2. The 3D visualization is aligned with (dynamic)/discrete from (anchored) the cube.
3. The 3D visualizations are above the cube (dynamic) or on the desktop (anchored)."
40,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642740,"He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun","@inproceedings{10.1145/3613904.3642740,
author = {He, Shuqi and Yao, Haonan and Jiang, Luyan and Li, Kaiwen and Xiang, Nan and Li, Yue and Liang, Hai-Ning and Yu, Lingyun},
title = {Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642740},
doi = {10.1145/3613904.3642740},
abstract = {Tangible interfaces in mixed reality (MR) environments allow for intuitive data interactions. Tangible cubes, with their rich interaction affordances, high maneuverability, and stable structure, are particularly well-suited for exploring multi-dimensional data types. However, the design potential of these cubes is underexplored. This study introduces a design space for tangible cubes in MR, focusing on interaction space, visualization space, sizes, and multiplicity. Using spatio-temporal data, we explored the interaction affordances of these cubes in a workshop (N=24). We identified unique interactions like rotating, tapping, and stacking, which are linked to augmented reality (AR) visualization commands. Integrating user-identified interactions, we created a design space for tangible-cube interactions and visualization. A prototype visualizing global health spending with small cubes was developed and evaluated, supporting both individual and combined cube manipulation. This research enhances our grasp of tangible interaction in MR, offering insights for future design and application in diverse data contexts.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {209},
numpages = {21},
keywords = {mixed reality, spatio-temporal data, tangible interaction},
location = {Honolulu, HI, USA},
series = {CHI '24}
}",Data Cubes in Hand: A Design Space of Tangible Cubes for Visualizing 3D Spatio-Temporal Data in Mixed Reality,,Small,Single,A tangible widget,N/A,"Rigid, Reconfigurable",No use,Polyhedron,A cube (edge lengths around 10 cm),Body,A cube (edge lengths around 10 cm),One-handed,Positioning,Moving the cube on desktop for selecting the data.,on the horizontal surface,"Position,Rotation",Physical widget: 2DOF translation and 1DOF rotation in the plane.,Looking up,3D,3D bar chart+3D heatmap,The selected data of the 3D visualization displayed in the augmented reality (HMD).,Augmented reality,Use a polyhedron to lookup a 3D bar chart+3D heatmap by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,"Aligned,Discrete","1. The cube is on the desktop.
2. The 3D visualization is aligned with (dynamic)/discrete from (anchored) the cube.
3. The 3D visualizations are above the cube (dynamic) or on the desktop (anchored)."
41,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642734,"Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang","@inproceedings{10.1145/3613904.3642734,
author = {Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang},
title = {Moir\'{e}Widgets: High-Precision, Passive Tangible Interfaces via Moir\'{e} Effect},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642734},
doi = {10.1145/3613904.3642734},
abstract = {We introduce Moir\'{e}Widgets, a novel approach for tangible interaction that harnesses the Moir\'{e} effect〞a prevalent optical phenomenon〞to enable high-precision event detection on physical widgets. Unlike other electronics-free tangible user interfaces which require close coupling with external hardware, Moir\'{e}Widgets can be used at greater distances while maintaining high-resolution sensing of interactions. We define a set of interaction primitives, e.g., buttons, sliders, and dials, which can be used as standalone objects or combined to build complex physical controls. These consist of 3D printed structural mechanisms with patterns printed on two layers〞one on paper and the other on a plastic transparency sheet〞which create a visual signal that amplifies subtle movements, enabling the detection of user inputs. Our technical evaluation shows that our method outperforms standard fiducial markers and maintains sub-millimeter accuracy at 100&nbsp;cm distance and wide viewing angles. We demonstrate our approach by creating an audio console and indicate how our approach could extend to other domains.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {329},
numpages = {10},
keywords = {Fabrication, Moir\'{e} Effect, Moir\'{e} Pattern, Tangible Interaction, Vision-Based Sensing},
location = {Honolulu, HI, USA},
series = {CHI '24}
}","Moir\'eWidgets: High-Precision, Passive Tangible Interfaces via Moir\'e Effect",,Small,Single,A tangible widget,N/A,Rigid,No use,Polyhedron,A cubic button,Straight edge,The cubic button's motion path,One-handed,Positioning,Moving the cubic button up or down on desktop for adjusting the state of playing audio.,on the horizontal surface,Position,Physical widget: 1DOF translation in the vertical direction.,Adjusting,Other,Audio,The status of the audio played by the system.,Augmented reality,Use a polyhedron to adjust an audio by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The button is on the desktop.
2. The button is discrete from the audio player.
3. The audio player is in the room."
41,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642734,"Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang","@inproceedings{10.1145/3613904.3642734,
author = {Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang},
title = {Moir\'{e}Widgets: High-Precision, Passive Tangible Interfaces via Moir\'{e} Effect},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642734},
doi = {10.1145/3613904.3642734},
abstract = {We introduce Moir\'{e}Widgets, a novel approach for tangible interaction that harnesses the Moir\'{e} effect〞a prevalent optical phenomenon〞to enable high-precision event detection on physical widgets. Unlike other electronics-free tangible user interfaces which require close coupling with external hardware, Moir\'{e}Widgets can be used at greater distances while maintaining high-resolution sensing of interactions. We define a set of interaction primitives, e.g., buttons, sliders, and dials, which can be used as standalone objects or combined to build complex physical controls. These consist of 3D printed structural mechanisms with patterns printed on two layers〞one on paper and the other on a plastic transparency sheet〞which create a visual signal that amplifies subtle movements, enabling the detection of user inputs. Our technical evaluation shows that our method outperforms standard fiducial markers and maintains sub-millimeter accuracy at 100&nbsp;cm distance and wide viewing angles. We demonstrate our approach by creating an audio console and indicate how our approach could extend to other domains.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {329},
numpages = {10},
keywords = {Fabrication, Moir\'{e} Effect, Moir\'{e} Pattern, Tangible Interaction, Vision-Based Sensing},
location = {Honolulu, HI, USA},
series = {CHI '24}
}","Moir\'eWidgets: High-Precision, Passive Tangible Interfaces via Moir\'e Effect",,Small,Single,A tangible widget,N/A,Rigid,No use,Plate,A dial,Planar surface,The bottom surface of dial,One-handed,Rotating,Rotating a dial orientation on desktop for adjusting the audio speed.,on the horizontal surface,Rotation,Physical widget: 1DOF rotation in the plane.,Adjusting,Other,Audio,The speed of the audio played by the system.,Augmented reality,Use a plate to adjust an audio by rotating.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The dial is on the desktop.
2. The dial is discrete from the audio player.
3. The audio player is in the room."
41,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3613904.3642734,"Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang","@inproceedings{10.1145/3613904.3642734,
author = {Campos Zamora, Daniel and Dogan, Mustafa Doga and Siu, Alexa F and Koh, Eunyee and Xiao, Chang},
title = {Moir\'{e}Widgets: High-Precision, Passive Tangible Interfaces via Moir\'{e} Effect},
year = {2024},
isbn = {9798400703300},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3613904.3642734},
doi = {10.1145/3613904.3642734},
abstract = {We introduce Moir\'{e}Widgets, a novel approach for tangible interaction that harnesses the Moir\'{e} effect〞a prevalent optical phenomenon〞to enable high-precision event detection on physical widgets. Unlike other electronics-free tangible user interfaces which require close coupling with external hardware, Moir\'{e}Widgets can be used at greater distances while maintaining high-resolution sensing of interactions. We define a set of interaction primitives, e.g., buttons, sliders, and dials, which can be used as standalone objects or combined to build complex physical controls. These consist of 3D printed structural mechanisms with patterns printed on two layers〞one on paper and the other on a plastic transparency sheet〞which create a visual signal that amplifies subtle movements, enabling the detection of user inputs. Our technical evaluation shows that our method outperforms standard fiducial markers and maintains sub-millimeter accuracy at 100&nbsp;cm distance and wide viewing angles. We demonstrate our approach by creating an audio console and indicate how our approach could extend to other domains.},
booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
articleno = {329},
numpages = {10},
keywords = {Fabrication, Moir\'{e} Effect, Moir\'{e} Pattern, Tangible Interaction, Vision-Based Sensing},
location = {Honolulu, HI, USA},
series = {CHI '24}
}","Moir\'eWidgets: High-Precision, Passive Tangible Interfaces via Moir\'e Effect",,Small,Single,A tangible widget,N/A,Rigid,No use,Constrained body,A slider,Straight edge,The slider's motion path,One-handed,Positioning,Sliding the slider on desktop for adjusting the audio volume.,on the horizontal surface,Position,Physical widget: 1DOF translation in a constrained direction.,Adjusting,Other,Audio,The volume of the audio played by the system.,Augmented reality,Use a constrained body to adjust an audio by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Not impacted within the accessible distance.,Discrete,"1. The slider is on the desktop.
2. The slider is discrete from the audio player.
3. The audio player is in the room."
42,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3411764.3445404,"Courtoux, Emmanuel and Appert, Caroline and Chapuis, Olivier","@inproceedings{10.1145/3411764.3445404,
author = {Courtoux, Emmanuel and Appert, Caroline and Chapuis, Olivier},
title = {WallTokens: Surface Tangibles for Vertical Displays},
year = {2021},
isbn = {9781450380966},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3411764.3445404},
doi = {10.1145/3411764.3445404},
abstract = {Tangibles can enrich interaction with digital surfaces. Among others, they support eyes-free control or increase awareness of other users＊ actions. Tangibles have been studied in combination with horizontal surfaces such as tabletops, but not with vertical screens such as wall displays. The obvious obstacle is gravity: tangibles cannot be placed on such surfaces without falling. We present WallTokens, easy-to-fabricate tangibles to interact with a vertical surface. A WallToken is a passive token whose footprint is recognized on a tactile surface. It is equipped with a push-handle that controls a suction cup. This makes it easy for users to switch between sliding the token or attaching it to the wall. We describe how to build such tokens and how to recognize them on a tactile surface. We report on a study showing the benefits of WallTokens for manipulating virtual objects over multi-touch gestures. This project is a step towards enabling tangible interaction in a wall display context.},
booktitle = {Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems},
articleno = {421},
numpages = {13},
keywords = {Fabrication, Tangible Interaction, Tokens, Wall-sized display},
location = {Yokohama, Japan},
series = {CHI '21}
}",WallTokens: Surface Tangibles for Vertical Displays,,Small,Single,A tangible widget,N/A,Rigid,No use,Spheroid,A 3D printed assembly object,Planar surface,The bottom surface of assembly object,One-handed,Positioning,Locating the assembly object on wall for displaying a graphic at a position in the plane.,on the vertical surface,Position,Physical widget: 2DOF translation in the plane.,Modulating,2D,2D graphic,The image of the 2D graphic displayed on the wall screen.,2D display,Use a spheroid to modulate a 2D graphic by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The assembly object is on the wall.
2. The assembly object is aligned with the 2D graphic.
3. The 2D graphic is displayed on the wall."
42,CHI,Tangible & Interaction,https://dl.acm.org/doi/10.1145/3411764.3445404,"Courtoux, Emmanuel and Appert, Caroline and Chapuis, Olivier","@inproceedings{10.1145/3411764.3445404,
author = {Courtoux, Emmanuel and Appert, Caroline and Chapuis, Olivier},
title = {WallTokens: Surface Tangibles for Vertical Displays},
year = {2021},
isbn = {9781450380966},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3411764.3445404},
doi = {10.1145/3411764.3445404},
abstract = {Tangibles can enrich interaction with digital surfaces. Among others, they support eyes-free control or increase awareness of other users＊ actions. Tangibles have been studied in combination with horizontal surfaces such as tabletops, but not with vertical screens such as wall displays. The obvious obstacle is gravity: tangibles cannot be placed on such surfaces without falling. We present WallTokens, easy-to-fabricate tangibles to interact with a vertical surface. A WallToken is a passive token whose footprint is recognized on a tactile surface. It is equipped with a push-handle that controls a suction cup. This makes it easy for users to switch between sliding the token or attaching it to the wall. We describe how to build such tokens and how to recognize them on a tactile surface. We report on a study showing the benefits of WallTokens for manipulating virtual objects over multi-touch gestures. This project is a step towards enabling tangible interaction in a wall display context.},
booktitle = {Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems},
articleno = {421},
numpages = {13},
keywords = {Fabrication, Tangible Interaction, Tokens, Wall-sized display},
location = {Yokohama, Japan},
series = {CHI '21}
}",WallTokens: Surface Tangibles for Vertical Displays,,Small,Single,A tangible widget,N/A,Rigid,No use,Spheroid,A 3D printed assembly object,Planar surface,The bottom surface of assembly object,One-handed,Positioning,Locating the assembly object on wall for selecting a graphic at a position in the plane.,on the vertical surface,Position,Physical widget: 2DOF translation in the plane.,Looking up,2D,2D graphic,The image of the 2D graphic displayed on the wall screen.,2D display,Use a spheroid to lookup a 2D graphic by positioning.,Reachable,Physical: Interaction is possible only if manipulable entity is grabbed by user.,Reachable,Interaction is possible only if task object is reachable by user.,Aligned,"1. The assembly object is on the wall.
2. The assembly object is aligned with the 2D graphic.
3. The 2D graphic is displayed on the wall."
